          -4         -32
           3          27
          12          29
          -9          12
          11          29
         -23          -4
         -17          26
         -14         -20
         -23          -5
         -15         -18
          -4         -33
          -5         -33
          23           6
         -15         -20
          21          23
         -13         -14
          14         -26
          25           8
         -14          -4
          13         -25
          -7          29
           2          31
         -12         -28
         -16          21
          25           9
           3         -28
         -17          22
          24           6
           9          23
          25           7
          -7          26
         -24          -3
          -4          26
          26           9
          18         -22
          19         -24
          27           9
         -13         -28
          21           6
         -17          27
          13          27
         -10         -29
          -7          31
         -11          30
          25           6
          20         -24
         -16         -17
         -24           2
         -12           5
         -12         -29
          28           9
         -22           2
          19          24
         -16          27
         -25           0
           5         -30
         -16          20
         -16         -20
         -18          22
           6          29
         -17         -20
          14         -23
          -3          26
          -7         -27
          10          28
          11          30
         -16          19
         -25           2
         -17          -5
          28          10
           6         -30
          16         -15
          -6          31
          21          22
         -25           3
          -6          32
         -17         -19
          -5         -34
          -7          32
         -25          -3
          22          23
          20          11
          10          29
          17         -26
           3         -32
          -1         -29
           9          28
         -26           3
         -26           0
         -17         -21
          15         -25
         -14         -28
          21         -24
         -16          18
         -14         -29
           3          33
         -17          28
          22         -24
         -27           0
          -4         -34
          29          10
          22         -23
          30          10
          10          30
          11          31
          20          25
         -12           9
         -17          18
         -27          -1
          21          21
           6          30
          31          10
         -14         -30
         -17         -17
          -7          33
          18         -26
          26           6
         -10          30
         -11          31
          27           6
          32          10
          23         -24
          31           9
          12         -27
          27          10
           5          30
          27           5
         -26           4
           7         -27
         -17         -22
          28           5
          17          22
          21           5
          21          20
          21          24
          32           9
          -7          34
          -7          35
          20         -25
          32          11
          22         -22
         -18          28
          24         -24
          -8          34
          -9          34
         -19          22
           3         -33
          -4         -35
          -9         -30
          32           8
          20          26
          32           7
           2          33
          -6         -34
          29           5
          32          12
          25         -24
          22         -25
          21          26
         -23          -6
         -19          28
          33           8
         -15         -28
         -26          -3
          17         -16
         -17          29
         -12          10
          28          11
         -12          30
         -27           3
         -12         -30
         -16         -16
          21          27
          17         -27
         -23          -7
          25         -23
         -18         -17
          33           7
         -27           4
          23          23
          21         -25
          24          23
         -14         -31
         -26          -4
          34           7
          22          20
           6         -31
          22          19
          -7         -28
         -27           5
         -11          26
          -4         -30
          10         -30
          10         -31
          -8          33
           4         -33
          33           6
         -13         -26
           9          30
         -27          -4
         -18         -19
           2          27
          22          18
          29           6
           5         -31
          24          22
          23          19
          26           5
          -9          27
          13          28
         -18          27
         -16          -6
          22         -26
          35           7
         -18         -21
         -18         -16
          19          26
           4          33
           6         -32
          18         -21
          25         -22
          -8          35
         -15         -30
          33           5
          32          13
         -17         -23
         -11          32
          10         -32
         -28           3
          10         -33
          22          26
           5          33
           2          34
          -4         -36
          -3         -36
          33           4
          10         -34
          10         -35
          16         -27
          14          28
          -8         -30
         -15         -29
          17         -17
          17         -15
         -12          31
         -17          30
          23          26
          11         -35
           3          34
          21          28
         -20          22
         -18         -23
          24          26
          26         -22
         -21          22
          -5          32
          33          10
           1          33
         -12         -31
          17         -28
         -18         -22
         -19         -21
         -28           2
           7         -30
         -21          21
         -19         -16
         -13          26
           1          31
           2         -33
          33           3
         -12          32
         -28           4
           3          35
          12         -35
           0          31
          -2         -36
          -4         -37
         -20          28
         -27          -5
         -16         -29
          -7         -34
          24          19
          21         -22
          32           3
          34           5
         -29           4
         -22          21
         -16         -28
         -17         -29
          33          13
          -5         -37
           3         -34
         -11         -31
         -16         -30
          -8          36
          24         -25
         -23          -8
          -1         -36
          10         -36
          -5         -38
          35           6
          -1         -37
          25         -21
         -15         -31
          22         -27
           2          35
         -20         -16
          34          13
         -27          -6
          -1         -38
         -20          23
          -7          36
          26         -21
         -12          33
          21         -27
           5          34
          36           7
         -28          -4
          24         -26
           0         -37
          12         -36
          -5         -39
          12          31
          18         -15
         -17          31
         -21          28
         -28           0
          27         -22
          -9          35
          37           7
         -21          20
         -22           3
          15          28
          12         -37
         -13          32
          33           2
          32          14
          21          29
          35          13
          33           1
          19         -15
         -13          33
          -3         -37
          -3         -38
         -22          28
         -23          -9
          15          29
         -29           2
          30          11
          31           3
          23         -25
          12          32
         -14          33
         -13          34
         -26           5
          24          27
         -27           6
         -17         -30
          31          14
          33           0
          33          14
         -13          35
         -22          22
          27         -21
          17         -29
         -21          29
          33          -1
          34           6
          22          29
          34           0
          33          -2
         -14          32
         -21          30
           3         -35
          33          -3
         -13         -31
         -30           2
         -20          24
           9         -32
         -31           2
           8         -32
          -3         -33
          -1          31
         -27          -7
          29           7
           2         -31
         -27          -8
          -8         -29
          -6          30
          -8          32
         -29          -4
          -7          30
          20         -15
          32           4
          -6          34
           2          36
          12          33
         -12          35
          35           5
         -27           7
         -21         -16
          23          29
          10         -37
          -1         -39
         -21         -15
         -21         -14
         -17          32
           0         -38
         -28          -7
         -13          36
          37           6
           2          37
         -23          22
           3          37
          33          -4
         -21         -17
          33          -5
          21         -28
           4          37
           4          38
          -8         -34
         -29           0
          21         -29
           0         -36
         -30          -4
         -18          31
           5          37
         -14          34
         -23          23
         -30          -5
         -17         -28
          33          -6
          32          15
         -21          27
         -11          35
         -19         -23
          13          33
           1          36
         -22          30
         -18         -28
          14          33
         -14          35
          34           2
          23         -27
         -23          30
         -22          31
          16          28
         -24          30
         -22          20
         -24          22
         -13          37
          -5         -40
         -22          -9
         -31          -4
           4          39
          10         -38
         -24          31
         -14          37
          21         -30
         -11          36
          28         -22
          23         -28
          13         -36
          14         -36
          23         -29
          13         -37
           1          37
         -23          31
          29         -22
         -22          32
         -27           8
         -29          -7
          -6         -40
          25         -26
           5          38
          25          23
         -14         -32
          34          -6
         -22         -17
          22          25
         -23          24
          11         -34
           5          36
         -31          -3
          34          10
          22         -30
          36           8
          38           6
          -1         -40
         -32          -4
         -21          19
           4          40
          21         -31
          26         -26
           1          38
           6          38
          13         -38
          24          29
          -6         -38
         -18         -24
         -24          21
         -15         -32
          35          -6
          14         -35
          25          27
           9         -37
         -24          23
         -21         -18
         -29          -8
          14         -11
           1          32
         -29           5
          17         -18
         -30           4
         -16          28
          33          11
          35           0
          20         -31
          27         -26
          -5          34
         -22         -18
           5         -33
          -6          35
           9         -36
         -29          -9
          29         -21
           0          37
         -24          20
         -19         -20
          19         -31
           2          38
         -19          31
         -15         -33
         -17         -31
         -32          -5
           5         -34
         -19         -28
          11         -33
          22         -29
         -12          36
         -15         -34
         -33          -4
         -23         -18
         -28           8
          20         -14
          13          29
         -32          -6
          26         -23
          36           0
           0          38
          36          13
          16         -29
         -19         -27
         -11          34
          14         -34
          26          27
          20          29
           6          34
          -5          35
         -12          34
          -2         -38
          39           6
         -29           8
          -6         -41
           5          40
           3          40
         -15         -35
         -18         -31
          20         -32
         -22          33
         -24          32
          37          13
          27         -27
         -19         -31
          21         -32
          14         -38
          11         -38
           3          41
          -9          36
          35          -7
         -20         -28
          -4          35
         -31           1
          16          29
          -3         -35
          -3          35
          32          16
           4          36
           6          36
          32          17
